Movie Title,Like to View Ratio,Difference From Average Runtime,IMDB Rating to Box Office Sales Ratio(*10^7)
Bumblebee,0.00781742220289871,-1,1.2013741568639615
The Curse of La Llorona,0.006740610607696502,-22,0.9500538598322326
Pet Sematary,0.004992820409948323,-14,1.0415772798445513
What Men Want,0.004284105856190408,2,0.9704844015415467
Green Book,0.004870350003367991,15,1.5492989280646337
Ad Astra,0.00412965850339045,8,1.2951207620410865
Isn't It Romantic,0.008078442647692391,-26,1.2092347743046301
Gemini Man,0.007624854606202852,2,1.174125487648303
Ma,0.0074761263068243685,-16,1.220149159748639
Five Feet Apart,0.019721598582961294,1,1.5744856007934183
Wonder Park,0.0020202024376110763,-30,1.282709280156158
Rambo: Last Blood,0.009727628301590435,-26,1.3610192311571128
Playing with Fire,0.01841950108768577,-19,1.1551165991682208
Harriet,0.008184427971216227,10,1.5512001823835366
A Dog's Way Home,0.007856587494670312,-19,1.5950730431560582
The Angry Birds Movie 2,0.004234449183058605,-18,1.5359834359546267
Little,0.010550443567404718,-6,1.3460438706044602
Queen & Slim,0.003946728076184881,17,1.7436601071073918
Breakthrough,0.018162986331097735,1,1.5228520405308543
The Mule,0.005401823435329904,1,1.7910108805702005
Crawl,0.008891085497367779,-28,1.5635335581592062
Little Women,0.010078354227794078,20,2.074847351751292
The Intruder,0.0037903666623632344,-13,1.5810668598730369
The Hustle,0.003319609460058672,-22,1.5246898964278153
Last Christmas,0.006057968208200299,-12,1.8509843677250974
Overcomer,0.004318556516187152,4,1.8994475629440228
Cold Pursuit,0.0024502999714788513,4,1.9291286667213046
Doctor Sleep,0.005765140004968615,37,2.3142939959256377
Dragon Ball Super: Broly,0.016027105777151624,-15,2.507153609296708
Long Shot,0.0012781190806818977,10,2.243019928143537
Spies in Disguise,0.016396801315488055,-13,2.3189443292398964
Child's Play,0.003965387731084428,-25,1.9514932055682743
Ready or Not,0.007238450074725433,-20,2.3681637164512606
Happy Death Day 2U,0.004555331804750535,-15,2.2026329990660125
Vice,0.005644810680963515,17,2.5659196336151866
21 Bridges,0.009875799756679824,-16,2.3786124681315486
Midsommar,0.007119680702269223,33,2.588750290277299
Bohemian Rhapsody,0.00941306682593994,19,2.9682611351404584
The Art of Racing in the Rain,0.008744272374695999,-6,2.841378133557047
Countdown,0.011111261516075213,-25,2.109839082182491
Uncut Gems,0.009157250052484406,20,2.9303311008830235
Judy,0.006663801004801121,3,2.8312635617004154
Ralph Breaks the Internet,0.011755003583378392,-3,2.9819137982395376
Fighting with My Family,0.0021316993528149777,-7,3.092484539537328
On the Basis of Sex,0.0034119287465375317,5,3.094212449934226
A Dog's Journey,0.005524965584747268,-6,3.248125491416148
Booksmart,0.007775736712180822,-13,3.130378684995813
Parasite,0.009623957996588649,17,3.755463813256425
Stuber,0.007385521625105857,-22,2.7715130655384166
47 Meters Down: Uncaged,0.0022469695855185656,-25,2.2460906791728994
